"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQN = name in a block quote; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","ADVERTISEMENT NUMBER","SCANNED TEXT"
202,4,7,"TXT",8,0,0,"Nicklaus was aware of Inman, whose brother, Joe, is a tour regular. The youngster went to school at the University of North Carolina with Nicklaus’ son before graduating last December."
203,4,7,"TXT",9,0,0,"Randolph,' however, was a mvsterv."
204,4,7,"TXT",10,0,0,"""What’s his first name?” Nicklaus asked. “Where’s he from? How’d he get here?"""
205,4,7,"TXT",11,0,0,"Given Randolph’s short biography — 20 years old, a junior at the University of Southern . Californlg, qualified by reaching the finals of last year’s U.S. Amateurs — Nicklaus nodded."
206,4,7,"TXT",12,0,0,"Many years ago, he had played Augusta as an amateur. Did he think a non-pro could really win this demanding event?"
207,4,7,"TXT",13,0,0,"“It would have to be a college kid who’s been playing constant, competitive golf,” he said. “Inman’s an outstanding player. I’d be delighted to see him stay up and play well. But for an amateur to win, he’s got his work cut out for him.”"
208,4,7,"TXT",14,0,0,"Ig the flush of his fancy first-round, Inman, 22, could see"
209,4,7,"TXT",14,0,0,"himself slipping into that green jacket on Sunday. Really."
210,4,7,"TXT",15,0,0,"""I wouldn’t rule it out,” he said. “If I can control my emotions, my game, sure, I could win-it.”"
211,4,7,"BQT",0,0,0,"‘I’m tickled for them. Maybe this wi^l put some life back amateur golf./"
212,4,7,"BQN",0,0,0,"Í Nicklaus"
213,4,7,"TXT",16,0,0,"Randolph's ambitions are somewhat more modest,,"
214,4,7,"TXT",17,0,0,"“I came in with ll(e goal of making the cut, playing well. If 1 do that, 1 'll giin for the top 2-1 '"
215,4,0,"NA",0,0,0,"-ii."
216,4,0,"B",0,0,0,
217,4,0,"NA",0,0,0,"\"
218,4,0,"B",0,0,0,
219,4,0,"AT",0,0,1,"CO-OP..."
220,4,0,"AT",0,0,1,"at the leading edge"
221,4,0,"AT",0,0,1,"Our dedication to technology has made Sundstrand a leader in virtually all of the markets"
222,4,0,"AT",0,0,1,"our products serve,"
223,4,0,"NA",0,0,0,"\ >"
224,4,0,"AT",0,0,1,"We are a Fortune 500, billion dollar company which designs, manufactures and sells a variety of proprietary, technology-based components and subsystems for aerospace and industrial rnarkets."
225,4,0,"AT",0,0,1,"It is our aggressive engineering and manufacturing that enables us to be on the leading edge of that technology. We don’t Just react to a customer’s need—we anticipate it."
226,4,0,"AT",0,0,1,"Sundstrand Aviation Operations, Brea, California, Is a sophisticated manufacturer of highly efficient electro-magnetic aerospace AC/DC motors, generators, solenoids, and environmental control units. Our Overhaul and Repair Department provides original equipment quality repair on all Sundstrand aircraft products with attention to timely turnaround."
227,4,0,"NA",0,0,0,"•"
228,4,0,"AT",0,0,1,"Sundstrand has operating units located in nine countries and employs more than 14,000 people worldwide. We offer employees solid benefits, liberal holidays and opportunities for growth and development in all phases of our manufacturing environment."
229,4,0,"AT",0,0,1,"Interviews: Wed., April 17th Information Night: Tues., April 16th 7-9 PM Faculty Dining ""B"" Pizza & Drinks!!"
230,4,0,"AT",0,0,1,"SUNOSimiM)"
231,4,0,"AT",0,0,1,"For more information, contact:"
232,4,0,"AT",0,0,1,"COOPERATIVE EDUCATION 546-2645"
233,4,0,"AT",0,0,1,"SUNDSTRAND AVIATIDN OPERATIDNS"
234,4,7,"TXT",18,0,0,"Then with a glint in his eye he added, “You never know what wiU happen in this game.”"
235,4,7,"TXT",19,0,0,"Indeed. But if either of them emerge from this gruelling four day test of golfing skills as the winner, it would be the first ' Masters title for an amateur Any amateur."
236,4,7,"TXT",20,0,0,"Augusta National does not treat first-timers kindly. There are lessons to be learned, nerves to be settled. It can fluster the calmest golfer."
237,4,7,"TXT",21,0,0,"Randolph admitterl that his knees were quivering on the first tee. Indian thought he wasn t even breathing at that point"
238,4,7,"TXT",22,0,0,"“1 wasn't very nervoif- playing the finals of the U.S. .•\mateor. Randolph , said “I had fi !t 1 belonged there. Mere. mu. ¡playing with guys you vs.iirh ne television, guys you Td< n.''.,, I That s a little more pressure"
239,4,7,"TXT",23,0,0,"“1 was scared,"" Inman a.:i>ii!"
240,4,7,"TXT",23,0,0,"I ted, “but I fii^ured I could ri'"
241,4,0,"AT",0,0,2,"Take STEPS in your safety."
242,4,0,"AT",0,0,2,"Use the Escort ServiciB"
243,4,0,"AT",0,0,3,"What’s"
244,4,0,"AT",0,0,3,"pizzazz?"
245,4,0,"AT",0,0,1,"An Equal Opportunity Employer"
246,4,0,"AT",0,0,3,"¿AMSTERDAM"
247,4,0,"AT",0,0,3,"(X EURAILPASS"
248,4,0,"AT",0,0,3,"1       MONTH UNI IMmn R.AT"
249,4,0,"AT",0,0,3,"*975"
250,4,0,"AT",0,0,3,"2       MONTHS UNUMrn n R.Ml"
251,4,0,"AT",0,0,3,"*1055"
252,4,0,"AT",0,0,3,"*Pna’ i>-"
253,4,0,"AT",0,0,3,"Round Trip Fdijht from ( hklarui or f_AX to Amsterdam rw MoTTin Air lY 1 IMITED s \C t AVAR AlU »"
254,4,0,"AT",0,0,3,"Nt • j "" N t. '= ( A u r-C'"
255,4,0,"AT",0,0,3,"7H ’1 IT'-’H '»1"
256,4,0,"AT",0,0,3,".:■» r-Tf"
257,5,0,"PI",0,0,0,"Mustang Dally"
258,5,0,"PI",0,0,0,"Monday, April 15,1985"
259,5,0,"SH",0,0,0,"Campus"
260,5,0,"PI",0,0,0,"Paga 5"
261,5,0,"HL",0,0,0,"Senator Cranston calls for tax reforms"
262,5,8,"BL",0,0,0,"By GREGG SCHROEDER"
263,5,8,"BL",0,0,0,"Staff Wrlftr"
264,5,8,"TXT",1,0,0,"Simplification of the federal tax structure and a freeze on government spending were two of the topics discussed by Sen. Alan Cranston and a panel of 12 city residents at City Hall Friday morning."
265,5,8,"TXT",2,0,0,"Cranston, the Democratic senator from California, spoke with the panel before a group of more than 60 residents assembled in the Council Chambers. He called the present tax system “unfair,"" suggesting that it be replaced by a modified flat tax that would get rid of the “unfair loopholes” that exist in the present system."
266,5,8,"TXT",3,0,0,"“In 1983...150 Americans earned S50 million and paid no taxes,” Cranston_^ said. “Sixty-five U.S corporations earned $50 billion and paid no federal income taxes.”"
267,5,8,"TXT",4,0,0,"With a modified flat tax structure, the government would be able to collect more money in taxes without raising them. Individuals and companies presently not paying their fair share would be more easily tracked down by the Internal Revenue Service under a simpler system, Cranston said. Also, if 'Americans felt the tax system was more equitable, he said they would be less inclined to cheat on their tax forms."
268,5,8,"TXT",5,0,0,"Cranston said that although most deductions and loopholes would be eliminated, those in the interest of the general public — such as charitable giving' — would be left intact."
269,5,8,"TXT",6,0,0,"Panelist Suzanne Yost, local real estate agent, questioned the senator on the implications of a flat tax. She said if deductions on investment property were cut, there would be little incentive for more building. In cities where"
270,5,8,"TXT",6,0,0,"housing is at a premium, such as San Luis Obispo, shortages would drive rents up, she said."
271,5,8,"TXT",7,0,0,"Cranston replied that the proposed reforms would leave people with more money at their disposal for buying and renting, and thus would actually stimulate the economy."
272,5,8,"TXT",8,0,0,"Jeff Colombini, a Cal Poly agricultural management student on the panel, said he was concerned about investors who buy up land as a tax shelter, consequently driving up property prices for serious farmers."
273,5,8,"TXT",9,0,0,"“I oppose that particular loophole,” Cranston said. “It must be closet}.”"
274,5,8,"TXT",10,0,0,"In regard to the deficit, which the senator .said is now,jpverjtt200 billipna year, CranstomsakP“we* cannot live beyond '^our means forever.” He cited military spending and cost-of-living increases for Social Security recipients as the main areas that are subject to cuts to reduce the deficit."
275,5,8,"TXT",11,0,0,"Cranstbn said he is in favor of a freeze in the military budget as a means to curb spending rather than cuts in student loans, child nutrition programs or eliminating the cost-of-living increase for the nation’s elderly, ■"
276,5,8,"TXT",12,0,0,"Colombini said the present system of allocating student loans needs to be reworked. Some students have abused the loans, he said, while other needy students are penalized by the system."
277,5,8,"TXT",13,0,0,"For example, the governmenC bases a student’s need for a loan on his parents’ as.sets. Colombini said)."
278,5,8,"TXT",14,0,0,"”A farmer's assets are in I land,” he said, “and he can’t sell that to pay for his son’s or daughter’s education.”"
279,5,8,"TXT",15,0,0,"Colombini also asked Cranston if he supported the elimination of crop subsidies."
280,5,0,"AT",0,0,1,"books^’"
281,5,0,"AT",0,0,1,"oave50to70/-"
282,5,0,"AT",0,0,1,"publisher pnces"
283,5,0,"AT",0,0,1,"aprii -20"
284,5,0,"AT",0,0,1,"B!"
285,5,0,"AT",0,0,1,"El GdtkxI       Bookstore"
286,0,0,"NA",0,0,0,"ITM"
287,5,0,"AT",0,0,2,"Trouble DollSr"
288,5,0,"AT",0,0,2,"They are new, they are exciting and"
289,5,0,"AT",0,0,2,"really no trouble at all..."
290,5,0,"AT",0,0,2,"In fact, that’s what they’re for, to help solve troubles..."
291,5,0,"AT",0,0,2,"Send for your six dolls in a linen pouch with their intriguing story and see what we mean!! I"
292,5,0,"AT",0,0,2,"THE MIND’S EYE"
293,5,0,"AT",0,0,2,"514 No. Foothill Rd. Ojai, CA 93203"
294,5,0,"AT",0,0,2,"r,"
295,5,0,"AT",0,0,2,"Name"
296,5,0,"AT",0,0,2,"¡Address . jiordered. lami. enc."
297,5,0,"AT",0,0,2,".City Astate"
298,5,0,"AT",0,0,2,"^\p"
299,5,0,"AT",0,0,2,"allow today delivery"
300,5,0,"AT",0,0,2,".@$2.36 -F 6%tx (2.50)1"
301,0,0,"NA",0,0,0,"I"
302,0,0,"NA",0,0,0,"-------------^----------1"
303,0,0,"NA",0,0,0,"I"
304,5,8,"TXT",16,0,0,"""We need to review th'e whole farm program, "" the senator said, noting that farmers are paid not to grow food in a world that faces starvation daily."
305,5,8,"TXT",17,0,0,"Cranston said the 90-minute forum was one in a series of town meetings designed to tap the views of Californians on subjects the senator will be voting on when he returns to Washington, DC."
306,5,8,"BQT",0,0,0,"Arraignment"
307,5,8,"BQT",0,0,0,"continues in rape case"
308,5,8,"TXT",18,0,0,"Two Cal Poly students charged with rape underwent further arraignment Wednesday and dates of future proceedings were set."
309,5,8,"TXT",19,0,0,"James G. Blevins, 23, ^nd Manuel Perez, 43, appeared before Judge Dbnald Umhofer for a second arraignment and both were later released on their own recognizance."
310,5,8,"TXT",20,0,0,"While Blevins had been released on his own recogpiizance following' the first arraignment, Perez had his $7,500 bail exonerated following a motion filed by his attorney."
311,5,8,"TXT",21,0,0,"Perez is scheduled to appear for further arraignment April 17 and Blevins will will have a preliminary hearing May 2."
312,5,9,"HL",0,0,0,"AcacJemic Senate"
313,5,9,"BL",0,0,0,"By DANRUTHEMEYER"
314,5,9,"BL",0,0,0,"Statt Writer"
315,5,9,"TXT",1,0,0,"Wit.h the current school year coming to an end, the Academic Senate is accepting nominations for next year's university and state senators."
316,5,9,"TXT",2,0,0,"The deadline for nominations to the faculty posts is today at noon, but the nominees will not face a general faculty election until laterin the month."
317,5,9,"TXT",3,0,0,"There are 27 seats open on the university senate and one open on the California State University Senate. Members of the state senate serve concurrently as university senators."
318,5,9,"TXT",4,0,0,"Consisting of a senate body and 14 committees, the purpose of the Academic Senate is to, allow a representative group of faculty members'"" to work with the Administration in forming university policy."
319,5,9,"TXT",5,0,0,"""The senate is a way of expressing formal faculty opinions on certain issues,” said Academic Senate Chairman Reginald Gooden."
320,5,9,"TXT",6,0,0,"While all academic schoo|s are represented on the senate, the exact number of representatives is determined by the number of full-time faculty>ifreach school."
321,5,9,"TXT",7,0,0,"The main body of the senate includes 56 faculty members, three members of the Administration and two representatives from the ASf."
322,5,0,"AT",0,0,1,"CLIP&SA^e"""
323,5,9,"TXT",8,0,0,"Working on issues ranging from budgets to curriculum, committees accumulate informa tion and send it to the senate where a resolution may be pu-^s-, ed. The resolution is then forwarded to the Administration for final approval."
324,5,9,"TXT",9,0,0,"While the power of the Academic Senate lies mostly in its advisory function. Administration approval for senate resolutions is almost always granted, said Gooden."
325,5,9,"TXT",10,0,0,"""The Administration will only stop a resolution if it believes that the senate is not acting the way it should, "" he said."
326,5,9,"TXT",11,0,0,"Gooden, an Academic Senate member since 1975. explained that the only real barrier to the authority of the Academic Senate is the fact that all resolutions must fall within the budget."
327,5,9,"TXT",12,0,0,"“Once we decide the budget and how we’ll skin the cat it -becomes a faculty issue through the senate,” he said."
328,5,9,"TXT",13,0,0,"He explained that while issues on curriculum originate with instructors and department heads, the senate is responsible for putting those changes into effect."
329,5,9,"TXT",14,0,0,"The main body of the A.cadem-ic Senate meets once a month, while the frequency of individual committee meetings is baaed on how much need there i.^ for discussion."
330,5,0,"AT",0,0,1,"2 Locations 1885 Monterey St. 212 Madonna Road"
331,5,0,"AT",0,0,1,2
332,5,0,"AT",0,0,1,"•Vi?"
333,5,0,"AT",0,0,1,"OFF"
334,5,0,"AT",0,0,1,"BUY ANY ARK TWO DELUXE BURGER AND GET $2.00 OFF THE SECOND ONE."
335,5,0,"AT",0,0,1,"Not valid with other discounts Offer good through April 30, 1985 after 11am daily"
336,0,0,"NA",0,0,0,"r       ja^______________rrrrrrr_ _ j"
337,0,0,"NA",0,0,0,"□□□□□□□□□□□□"
338,5,0,"AT",0,0,2,"1 LARGE"
339,5,0,"AT",0,0,2,"1 TOPPING PIZZA 2 FREE SOFT DRINKS"
340,5,0,"AT",0,0,2,"$7.85 "
341,5,0,"AT",0,0,2,"WITH THIS AD"
342,5,0,"AT",0,0,2,"DELIVERY IN-HOUSE"
343,5,0,"AT",0,0,2,"1015 COURTS!."
344,5,0,"AT",0,0,2,"SLO"
345,5,0,"AT",0,0,2,"541-4420        ,"
346,5,0,"AT",0,0,2,">ONE COUPON PER PIZZA"
347,0,0,"NA",0,0,0,"□□□□□□□□□□□□"
348,6,0,"PI",0,0,0,"Pag* 6"
349,6,0,"PI",0,0,0,"Mustang Dally"
350,6,0,"SH",0,0,0,"-Can"
351,0,0,"B",0,0,0,
352,6,9,"HL",0,0,0,"Row-a-thon raises funda"
353,0,0,"NA",0,0,0,"■f-Ja"
354,6,9,"HL",0,0,0,"Crew Club prepare"
355,0,0,"NA",0,0,0,"-Vy"
356,0,0,"B",0,0,0,
357,0,0,"NA",0,0,0,"■7-"
358,0,0,"B",0,0,0,
359,0,0,"NA",0,0,0,"t"
360,0,0,"B",0,0,0,
361,0,0,"B",0,0,0,
362,0,0,"NA",0,0,0,"sc"
363,0,0,"B",0,0,0,
364,0,0,"B",0,0,0,
365,6,9,"PH",0,0,0,"Coxswain Janet Brooks tries out the Crew Ciub’s rowing machine with some enthusiastic support from her feiiow club"
366,6,9,"PH",0,0,0,"^ KiVm CANNONMuslang D*Hy"
367,6,9,"PH",0,0,0,"members. The club held a row-a-thon last week, rowing for 24 hours and some 600 miles to raise money for equipment."
368,6,9,"BL",0,0,0,"By KEVIN CANNON"
369,6,9,"BL",0,0,0,"Slatl Writer"
370,6,9,"TXT",1,0,0,"“They want it so bad.”"
371,6,9,"TXT",2,0,0,"Those were the words of Crew Club President Bruce MacCoy concerning the dcesire of the crew club to be a “real” team."
372,6,9,"TXT",3,0,0,"The crew club has been working out' since before January: three days a week with weights and four days a week running stairs and hills, doing wind sprints and extensive calisthenics. Practice starts at 5:30 a.m."
373,6,9,"TXT",4,0,0,"The club just completed a row-a-thon in Mission Plaza to raise money for boats, rowing equipment and a boat house at Santa Margarita Lake."
374,6,9,"TXT",5,0,0,"The crew team started rowing Thursday at 9 a.m. on a specialized rowing machine which, according to club adviser Bud Beecher, “is as close to actual rowing as you can get.”'"
375,6,9,"TXT",6,0,0,"They were sponsored by individuals and businesses on a"
376,0,0,"NA",0,0,0,"YOURCAH"
377,0,0,"NA",0,0,0,"d □"
378,0,0,"B",0,0,0,
379,0,0,"B",0,0,0,
380,0,0,"B",0,0,0,
381,0,0,"B",0,0,0,
382,6,0,"AT",0,0,1,"Launch hour. ITirottlcs an- at full powiT as a supersonic roar sweeps acr(»ss the flight deck. .And \(»u're the pilot."
383,6,0,"AT",0,0,1,"The catapult fires and (■ for< «'s slam you hack into \ our srat. Set -onds later, you re punching a hole in th(‘ clouds .Old looking ^o<id."
384,6,0,"AT",0,0,1,"Nothinji heats the excitement of"
385,6,0,"AT",0,0,1,"Navy flyinj;. And no other joh can match the kind of manaf»e-menl r*‘s|)onsihilit\ you j^et so (piickly in the Navy."
386,6,0,"AT",0,0,1,"File rew.irds are there, too. Around-the-uorld tra\el oppor tunities with a ^reat stai tin^ salai'N ot-SP1.2(M>. As much as     after four vears w ith"
387,6,0,"AT",0,0,1,"promotions and pay incrca.ses."
388,6,0,"AT",0,0,1,"lake off for tomorrow in the Navy. With top-level training to help you huihl technical and mana^eri.il skills you’ll use fVir a lifetime. Don’t just settle into a |oh; lauiK h a career. See \ (»ur Na\ \ Kecruiter or"
389,6,0,"AT",0,0,1,"CALL 800-327-NAVY."
390,6,0,"AT",0,0,1,"NAVYOmCERS GET RESPONSiBIUTY FAST."
391,0,0,"NA",0,0,0,"|\"
392,0,0,"NA",0,0,0,"\"
393,0,0,"NA",0,0,0,"p t-"
394,6,9,"TXT",6,0,0,"per-mile-rowed basis. The goal of the team is to eventually raise over $^,000."
395,6,9,"TXT",7,0,0,"Alternating turns on the rowing machine, the team rowed for 24 hours and put more than 600 miles on the odometer."
396,6,9,"TXT",8,0,0,"Several members were gathered at the Mission Plaza waiting their turns and giving moral supporL Some were doing homework or studying and others were enjoying themselves by visiting in the sun."
397,6,9,"TXT",10,0,0,"“It’s just an,all-out help party,” said MacCoy."
398,6,9,"TXT",11,0,0,"Crew club member Anthony Gaspara, a sophomore agricultural managament major, said. “We want to put Cal Poly on the map as far as crew goes and we can't do that without boats.” Mike Mensing added, between shouts of encouragement, “I’m so excited that we’re finally get-, ting a crew team.”"
399,6,9,"TXT",12,0,0,"Club Adviser Bud'Beecher hrs"
400,6,9,"PH",0,0,0,"Club president Bruce M,a9' raise funds for bo.'-"
401,0,0,"NA",0,0,0,"\"
402,0,0,"NA",0,0,0,"ipus."
403,7,0,"PI",0,0,0,"Momlay, April 15, IMS"
404,7,0,"PI",0,0,0,"P«to«7"
405,0,0,"NA",0,0,0,"I ^"
406,0,0,"B",0,0,0,
407,0,0,"B",0,0,0,
408,0,0,"B",0,0,0,
409,0,0,"B",0,0,0,
410,0,0,"B",0,0,0,
411,0,0,"B",0,0,0,
412,0,0,"B",0,0,0,
413,7,9,"HL",0,0,0,"5 to be'rear"
414,7,9,"TXT",13,0,0,"been advising various groups for more than 20 years and has never seen a team with as much group enthusiasm. ""People in crew approach it more as a way of life,"" Beecher said."
415,7,9,"TXT",14,0,0,"The majority of the money raised will go into building the boat house, a project the team will undertake themselves. The boat house is also a senior project for Michael Judas, a construction major. The construction equipment used will be on loan from the California Men’s Colony."
416,7,9,"TXT",15,0,0,"A feasibility study to determine the effects the boat house might have on its natural surroundings will be the senior project of Dorene MacCoy, a natural resource managment, major."
417,7,9,"TXT",16,0,0,"“I’m amazed that we’ve got as 00^"
418,7,9,"TXT",16,0,0,"far as we have,” said MacCoy.   ____________________________"
419,7,9,"TXT",16,0,0,"""The hardest part is over but we rraxA, * o     .       -       kevinCANNOnai«iw*n«o»s»"
420,7,9,"TXT",16,0,0,"have a ways to go yet.” ""       orew ciuD president Bruce MacCoy rows’ away in the club’s row-a-thon held last week in the Mission Plaza."
421,0,0,"B",0,0,0,
422,0,0,"B",0,0,0,4
423,0,0,"NA",0,0,0,"I"
424,0,0,"B",0,0,0,
425,0,0,"B",0,0,0,
426,0,0,"B",0,0,0,
427,0,0,"B",0,0,0,
428,0,0,"B",0,0,0,
429,0,0,"B",0,0,0,
430,7,9,"PH",0,0,0,")y helping to rowing"
431,0,0,"B",0,0,0,
432,7,9,"AT",0,0,1,"RING WEEK"
433,7,9,"AT",0,0,1,"POLY ROYAL SPECIAL"
434,7,9,"AT",0,0,1,"*35 OFF"
435,7,9,"AT",0,0,1,"A"
436,7,9,"AT",0,0,1,"* 10K AND 14K GOLD RINGS. SAVE $40 ON 18K GOLD RINGS."
437,7,9,"AT",0,0,2,"On/OSTENS Gold College Rings."
438,0,0,"B",0,0,0,
439,0,0,"B",0,0,0,
440,0,0,"B",0,0,0,4
441,0,0,"B",0,0,0,
442,7,9,"AT",0,0,2,"See your jostens representative."
443,7,9,"AT",0,0,2,"[)fll(': APRIL 15! 16,17,18.19,26 & 27  1 illU’; 10AM-4PM"
444,0,0,"NA",0,0,0,"VKA"
445,0,0,"NA",0,0,0,"WollefCord"
446,0,0,"B",0,0,0,
447,7,9,"PH",0,0,0,"KEVIN CANNON/Muttan« Dally"
448,7,9,"PH",0,0,0,"Individuals and businesses sponsored"
449,0,0,"NA",0,0,0,"cii'b if'fmbf""  - r :en monr- f-"
450,0,0,"NA",0,0,0,"' A. is ;i_. jiL."
451,0,0,"B",0,0,0,
452,0,0,"B",0,0,0,
453,8,0,"PI",0,0,0,"Pagas"
454,8,0,"SH",0,0,0,"Campus"
455,8,0,"PI",0,0,0,"Mustang Dally Monday, AprIMS, 1MS"
456,8,3,"HL",0,0,0,"FOUNDATION"
457,8,10,"HL",0,0,0,"Prof gets grant to finish studies"
458,8,3,"ME",0,-1,0,"From page 1"
459,8,3,"TXT",0,15,0,"Agricultural business management major Mike Mendes, the third candidate, said he feels there is not enough ASI input in Foundation decisions, and suggested this be remedied by adding more students to the board."
460,8,3,"TXT",0,16,0,"“It’s the ASI’s responsibility (to the student body) to monitor the workings of the Foundation,” the 22-year-oId Mendes said. He feels some of the profits accrued by the Foundation should be used to subsidize the cost of items students can only buy from El Corral Bookstore, particularly textbooks."
461,8,3,"TXT",0,17,0,"“There is a 21 to 22 percent mark-up (on textbooks),” Mendes said, adding that bookstore"
462,8,3,"TXT",0,17,0,"operating expenses are 22 to 23 percent. The margin of profit on textbooks ~isn’t great, Mendes said, but lower prices could be achieved by subsidizing them with the sale of the other bookstore items."
463,0,0,"NA",0,0,0,"K-"
464,8,3,"TXT",0,18,0,"Mendes cautioned that' lowering prices of some Foundation services outright might mean sacrificing other services, including donation generation and athletics."
465,8,3,"TXT",0,19,0,"‘‘We don’t want to lose services;” Mendes said. ”It’s like paying taxes. If you want those services, you’re going to have to pay for your part...bpt (the ASI) needs to act as a check and balance for the Foundation."
466,8,10,"BL",0,0,0,"By GREGGSCHROEDER"
467,8,10,"BL",0,0,0,"Staff Writer"
468,8,10,"TXT",1,0,0,"A Cal Poly engineering instructor recently received a $5,000 grant from Chevron Corp. to study ways to make machines understand speech, thereby completing his doctorate."
469,8,10,"TXT",2,0,0,"Terry Stanhope, Electronic and Electrical Engineering Department associate professor, will use the grant to help him finish work on his doctoral degree in signal processing at University of California, Santa Barbara, where he is presently studying. His specialty, spe^h research, includes the study of high-speed processing of speech information by machines."
470,8,10,"TXT",3,0,0,"Jim Harris, “•Electronic and"
471,8,10,"TXT",3,0,0,"Electrical Engineering Department head, called the the grant “unusual” because is was given to someone who is currently a teacher, rather than a potential instructor."
472,8,10,"TXT",4,0,0,"Stanhope “is (already) doing very well as a faculty member,” Harris said, adding that with the grant. Stanhope can continue with his research ...unimpeded. Harris said Stanhope expects to complete his doctorate by fall."
473,8,10,"TXT",5,0,0,"A spokesman for Chevron Corp. said the company felt the grant proposal showed promise for helping to maintain the quality of the graduates it hires and that in order to get good students U is necessary to retain a good faculty."
474,8,10,"TXT",6,0,0,"Stanhope earned a bachelor's degree in mathematics and electrical engineering from Cal Poly in 1968 and a master’s degree in electrical' engineering from the University of Southern California in 1973."
475,8,10,"TXT",7,0,0,"From 1968 to 1979 he worked for Texas Instruments Inc. and remains as a consultant to that company and other electronic firms. ^"
476,8,10,"TXT",8,0,0,"Since he joined the Cal Poly faculty in 1979, Stanhope has been involved primarily with junior-l^vel curriculum. During his second year here. Stanhope was voted outstanding teacher and outstanding advisor in his department."
477,0,0,"B",0,0,0,
478,0,0,"NA",0,0,0,"t wow /"
479,0,0,"NA",0,0,0,"/"
480,8,0,"AT",0,0,1,"Get 2 sets of prints for the price of 1"
481,8,0,"AT",0,0,1,"Process one roll of film and receive two sets of prints for the price of one. One coupon per purchase not valid with other specials. Expires"
482,0,0,"NA",0,0,0,"A / A / Bit"
483,8,0,"AT",0,0,1,"9 Santa Rosa Blvd. 549-8979"
484,0,0,"NA",0,0,0,"'I"
485,0,0,"NA",0,0,0,"/"
486,0,0,"NA",0,0,0,"i"
487,0,0,"NA",0,0,0,",1"
488,8,0,"AT",0,0,2,"pizzazz"
489,8,0,"AT",0,0,2,"is"
490,8,0,"AT",0,0,2,"Coming!"
491,0,0,"B",0,0,0,
492,0,0,"B",0,0,0,
493,0,0,"B",0,0,0,
494,0,0,"B",0,0,0,
495,0,0,"B",0,0,0,
496,0,0,"NA",0,0,0,"‘,lf»H>.("
497,0,0,"NA",0,0,0,"*""4"
498,0,0,"NA",0,0,0,"\"
499,0,0,"NA",0,0,0,"7,"
500,0,0,"B",0,0,0,
501,8,0,"AT",0,0,3,"Every TI calculator comes with one extra number*"
502,8,0,"AT",0,0,3,"l-800-tl-CARES"
503,8,0,"AT",0,0,3,"When you buy a Texas Instruments calculattir you don’t ju,st buy a calculator, you buy.Texas Instruments’ commitment to quality."
504,8,0,"AT",0,0,3,"It’s a commitment backed by a fully developed service network that includes the above toll-free number you can call from anyplace in the United States."
505,8,0,"AT",0,0,3,"If you have any applications,"
506,8,0,"AT",0,0,3,"operations, or service questions, ,call us Monday thru Friday between 9 am and 4 pm CST, and we’ll be ijlad to help."
507,8,0,"AT",0,0,3,"If your calculator needs repairing, we’ll direct you to one of t)ur 46 conveniently ItKated service centers ftir an immediate exchange. Under warranty, it’s free. If there’s no center near yoift we’ll do it all by mail."
508,8,0,"AT",0,0,3,"Of course, there’s just one catch. It has to be a Texas Instruments calculator. But then, if you’re as smart as we think you are, why wouldn’t itbKTi   J,"
509,8,0,"AT",0,0,3,"Texas"
510,8,0,"AT",0,0,3,"Instruments"
511,8,0,"AT",0,0,3,"Creating usehil prodiK ts and scr\ iccs lor you."
512,8,0,"AT",0,0,3,"<’ 1*^^ To»»'In-tnimi-fU."
513,8,0,"AT",0,0,4,"______Super.______"
514,8,0,"AT",0,0,4,"LEARNING"
515,8,0,"AT",0,0,4,"Th« «ccdldrptM. ttrpM-frp« typldm for l••rnir»9 prtd romomborin^ For"
516,8,0,"AT",0,0,4,"•       T«»tt KA' < Hir*T rt< • LAfiguag*"
517,8,0,"AT",0,0,4,"•       Faett/Figur*« a Supar Parformanca a Licanaing Examt a Supar Mamofy"
518,0,0,"B",0,0,0,1
519,0,0,"B",0,0,0,
520,8,0,"AT",0,0,4,"Call 543-3992"
521,8,0,"AT",0,0,4,"s.itat.ry"
522,8,0,"AT",0,0,4,"ilN:> ^ ,Q3     5,      5L0"
523,8,0,"AT",0,0,5,"IN LEARNING"
524,8,0,"AT",0,0,5,"•GOLD-ARROW-"
525,8,0,"AT",0,0,5,"CAMP"
526,8,0,"AT",0,0,5,"iOBACKPACKING ♦HORSEBACK RIDING ♦ SAILING ♦WATER SKIING and"
527,8,0,"AT",0,0,5,"♦ROCK CLIMBING"
528,8,0,"AT",0,0,5,"instructors needed for High Sierra summer camp from June 27th thru August 31st. Please contact the Placement Office for application or call (213)515-0639. Must be experienced"
529,0,0,"NA",0,0,0,"fez^Z7.7.ZZ2227.^Z7ZZ22Z2h"
530,8,0,"AT",0,0,6,"MINI STORAGE"
531,8,0,"AT",0,0,6,"[ustani"
